ID,APS_ID,memberID,SequenceID
1222,0,67519,1
3881,0,67524,1
4422,3,67566,1
619,0,67573,1
1388,0,67576,1
1745,7,67578,1
5415,0,67584,1
10797,20,67589,1
7077,0,67590,1
5812,23,67616,1
11707,0,67636,1
584,4,67649,1
12656,0,67650,1
23823,8,67654,1
1751,7,67666,1
6260,0,67667,1
959,0,67671,1
1306,0,67674,1
1753,7,67678,1
9301,5,67679,1
9196,0,67693,1
5399,8,67694,1
4423,0,67695,1
6413,1,67704,1
3640,0,67706,1
1542,5,67714,1
4424,0,67719,1
9582,0,67721,1
3166,5,67726,1
8865,0,67727,1
14147,0,67728,1
15651,0,67729,1
17945,0,67732,1
2265,22,67734,1
3137,5,67744,1
1259,0,67746,1
15655,0,67750,1
2339,5,67757,1
4145,4,67762,1
789,0,67763,1
4425,0,67764,1
1755,7,67765,1
5638,21,67767,1
27508,31,67771,1
2334,0,67773,1
4281,0,67774,1
17174,30,67778,1
12410,0,67786,1
3133,5,67790,1
1969,0,67792,1
12658,0,67793,1
2609,6,67795,1
1741,7,67799,1
5101,0,67801,1
1754,7,67802,1
4426,20,67803,1
17661,0,67806,1
6430,0,67812,1
8060,0,67813,1
2784,20,67814,1
11359,4,67828,1
4552,4,67830,1
2546,0,67839,1
4787,0,67841,1
1931,0,67868,1
21246,0,67869,1
3725,3,67871,1
3721,3,67872,1
3726,3,67875,1
3676,3,67876,1
1002,3,67882,1
3687,3,67883,1
1095,3,67887,1
3723,3,67889,1
3717,3,67890,1
5726,0,67907,1
4540,0,67930,1
1089,7,67943,1
5560,19,67944,1
3563,7,67950,1
9644,23,67951,1
7406,0,67955,1
3719,3,67977,1
2005,0,67987,1
4795,3,67993,1
3689,3,68019,1
1690,7,68025,1
10841,8,68051,1
1691,7,68065,1
17791,0,68069,1
3018,1,68073,1
1009,4,68074,1
3775,0,68075,1
795,0,68076,1
392,0,68090,1
3123,0,68092,1
2476,0,68099,1
8871,0,68119,1
2002,0,68126,1
9195,0,68146,1
3878,3,68154,1
11061,26,68160,1
4711,0,68162,1
4955,0,68163,1
3269,0,68165,1
1602,0,68180,1
1610,0,68181,1
2596,15,68193,1
2971,0,68196,1
9435,0,68199,1
2768,0,68206,1
1082,7,68211,1
1010,4,68224,1
2871,26,68228,1
1746,7,68235,1
7659,0,68236,1
